	Ambrosiozyma_ambrosiae	Ambrosiozyma_monospora	Ambrosiozyma_oregonensis	Ambrosiozyma_philentoma	Ambrosiozyma_vanderkliftii	Brettanomyces_anomalus	Brettanomyces_custersianus	Brewery_genome	Komagataella_pastoris	Komagataella_populi	Kregervanrija_delftensis	Kregervanrija_fluxuum	Ogataea_henricii	Ogataea_pini	Ogataea_polymorpha	Pichia_membranifaciens	Pichia_terricola	Starmerella_apicola	Starmerella_bombicola	Wickerhamiella_versatilis
Ambrosiozyma_ambrosiae	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ambrosiozyma_monospora	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ambrosiozyma_oregonensis	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ambrosiozyma_philentoma	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ambrosiozyma_vanderkliftii	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Brettanomyces_anomalus	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Brettanomyces_custersianus	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Brewery_genome	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Komagataella_pastoris	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Komagataella_populi	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Kregervanrija_delftensis	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Kregervanrija_fluxuum	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ogataea_henricii	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ogataea_pini	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ogataea_polymorpha	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Pichia_membranifaciens	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Pichia_terricola	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Starmerella_apicola	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Starmerella_bombicola	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Wickerhamiella_versatilis	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
