	Ambrosiozyma_ambrosiae	Ambrosiozyma_monospora	Ambrosiozyma_oregonensis	Ambrosiozyma_philentoma	Ambrosiozyma_vanderkliftii	Brettanomyces_anomalus	Brettanomyces_custersianus	Brewery_genome	Komagataella_pastoris	Komagataella_populi	Kregervanrija_delftensis	Kregervanrija_fluxuum	Ogataea_henricii	Ogataea_pini	Ogataea_polymorpha	Pichia_membranifaciens	Pichia_terricola	Starmerella_apicola	Starmerella_bombicola	Wickerhamiella_versatilis
Ambrosiozyma_ambrosiae	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Ambrosiozyma_monospora	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Ambrosiozyma_oregonensis	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Ambrosiozyma_philentoma	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Ambrosiozyma_vanderkliftii	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Brettanomyces_anomalus	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Brettanomyces_custersianus	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Brewery_genome	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Komagataella_pastoris	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Komagataella_populi	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Kregervanrija_delftensis	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Kregervanrija_fluxuum	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Ogataea_henricii	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
Ogataea_pini	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0
Ogataea_polymorpha	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0
Pichia_membranifaciens	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0
Pichia_terricola	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0
Starmerella_apicola	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0
Starmerella_bombicola	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	3.0
Wickerhamiella_versatilis	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0
