treeno	No	name	Fsongbi	Fdancebi	Mstraw	Fstraw	Mdance	Fdance	SDdance	sdcolor	red	black	reseffort	log_reseeffort	intraparas	bodysize	clutch	incub	interparas	society
1	101	Padda_fuscata	0	0	0	0	4	0	0	0	0	0	0	0	0	12	5	14.5	0	2
2	100	Padda_oryzivora	0	1	1	0	6	4	0.666666667	2	0	0	25	1.414973	0	15	5.5	13.5	0	3
3	98	Lonchura_fringilloides	0	1	1	0	6	5	0.833333333	0	0	0	0	0	0	12	5	13.5	0	2
4	99	Lonchura_bicolor	0	1	1	1	7	5	0.714285714	0	0	0	1	0.30103	1	10	4.5	14	0	1
6	97	Lonchura_cucullata	0	1	1	1	7	5	0.714285714	0	0	0	5	0.778151	0	9	6	14	1	3
7	112	Lonchura_ferruginosa	0	0	1	0	4	0	0	0	0	0	0	0	0	11.5	5.5	13.5	0	2
8	108	Lonchura_leucogastra	0	0	1	0	5	0	0	0	0	0	0	0	0	11	5	15	0	1
9	121	Lonchura_nevermanni	0	0	1	0	6	0	0	3	0	0	0	0	0	11.5	5.5	13	0	2
10	93	Lonchura_nana	0	0	1	0	2	0	0	0	0	0	0	0	0	9	5.5	11.5	0	2
11	96	Lonchura_caniceps	0	1	1	0	7	1	0.142857143	0	0	0	0	0	0	11	4.5	13.5	0	2
12	123	Lonchura_stygia	0	0	0	0	3	0	0	0	0	0	0	0	0	10.5	5	15	0	2
13	95	Lonchura_malabarica	0	1	1	1	5	5	1	0	0	0	14	1.176091	1	11	5.5	13	0	2
14	94	Lonchura_cantans	0	1	1	0	5	4	0.8	0	0	0	2	0.477121	1	11	4.5	12	1	2
15	125	Lonchura_grandis	0	0	0	0	3	0	0	1	0	0	0	0	0	12	4.5	14	0	3
16	110	Lonchura_malacca	0	1	1	1	4	1	0.25	0	0	0	8	0.954243	0	11.5	4.5	12.5	0	3
17	113	Lonchura_maja	0	0	0	0	4	0	0	0	0	0	1	0.30103	0	11	5	12.5	0	3
18	124	Lonchura_spectabilis	0	0	1	0	6	0	0	0	0	0	0	0	0	10	4.5	14.5	0	3
19	114	Lonchura_pallida	0	0	1	0	6	0	0	0	0	0	0	0	0	11	5.5	14.5	0	2
20	120	Lonchura_quinticolor	0	0	0	0	3	0	0	0	0	0	0	0	0	11.5	5.5	15	0	2
21	118	Lonchura_castaneothorax	0	1	0	0	6	2	0.333333333	0	0	0	1	0.30103	0	11	5	13.5	0	2
22	119	Lonchura_flaviprymna	0	1	1	1	7	2	0.285714286	0	0	0	0	0	0	12	4.5	13	0	3
23	105	Lonchura_molucca	0	0	0	0	6	0	0	0	0	0	0	0	0	10.5	4.5	15.5	0	1
24	122	Lonchura_teerinki	0	1	1	0	5	2	0.4	0	0	0	0	0	0	10.5	3	14.5	0	2
25	103	Lonchura_punctulata	0	1	1	1	7	3	0.428571429	0	0	0	99	2	1	12	4.5	14	0	3
26	109	Lonchura_leucogastroides	0	0	1	0	4	0	0	0	0	0	7	0.90309	0	10.5	5	13	0	1
27	111	Lonchura_atricapilla	0	0	1	0	4	0	0	0	0	0	1	0.30103	0	11.5	5	12.5	0	3
29	106	Lonchura_striata	0	0	0	0	4	0	0	0	0	0	111	2.049218	0	11.5	4.5	14	0	3
30	79	Emblema_pictum	0	1	1	1	7	5	0.714285714	4	1	0	0	0	0	11	4	13.5	0	1
31	88	Taeniopygia_guttata	0	1	1	0	7	2	0.285714286	3	1	1	1481	3.170848	1	10.5	5	12.5	0	3
32	89	Taeniopygia_bichenovii	0	0	1	0	5	0	0	0	0	0	2	0.477121	0	10.5	4.5	11.5	0	3
33	90	Poephila_personata	0	0	1	0	4	0	0	0	0	0	4	0.69897	0	13	5	14	0	3
34	91	Poephila_acuticauda	0	1	1	1	7	7	1	0	0	0	16	1.230449	0	15.5	4.5	13.5	0	3
35	92	Poephila_cincta	0	0	1	0	7	0	0	0	0	0	1	0.30103	0	11	5	13	0	3
36	87	Neochmia_modesta	0	0	1	0	6	0	0	3	1	1	1	0.30103	0	11	4	12	0	2
37	86	Neochmia_ruficauda	0	1	1	1	6	6	1	2	1	0	5	0.778151	0	11.5	4.5	13.5	0	3
38	84	Neochmia_temporalis	0	1	1	0	6	1	0.166666667	0	0	0	4	0.69897	0	11.5	5	14	0	2
39	85	Neochmia_phaeton	0	0	1	0	5	0	0	2	1	1	2	0.477121	0	13	5	14	0	2
40	82	Stagonopleura_oculata	0	0	1	0	4	0	0	0	0	0	1	0.30103	0	12	4.5	14	0	0
41	83	Stagonopleura_guttata	0	0	1	0	5	0	0	2	0	1	11	1.079181	0	12	4.5	14	0	3
42	77	Erythrura_gouldiae	0	1	0	0	6	4	0.666666667	1	0	0	53	1.732394	0	15	6	14.5	0	3
43	67	Erythrura_hyperythra	0	1	1	0	4	1	0.25	1	0	0	0	0	0	10.4	5	13.5	0	1
44	68	Erythrura_prasina	0	1	1	0	5	3	0.6	5	1	0	0	0	0	13.38	5	13	0	2
45	70	Erythrura_tricolor	0	0	1	0	2	0	0	0	0	0	0	0	0	10	5	14	0	2
46	69	Erythrura_viridifacies	0	1	1	0	5	3	0.6	2	0	0	0	0	0	12.5	3.5	14	0	2
47	71	Erythrura_trichroa	0	1	1	0	3	1	0.333333333	1	0	0	4	0.69897	0	12	4.5	13	0	2
48	5	Ortygospiza_atricollis	0	0	1	0	7	0	0	3	0	1	3	0.60206	0	9.5	5	14	1	1
49	78	Heteromunia_pectoralis	0	1	1	0	6	1	0.166666667	2	0	0	1	0.30103	0	12	5	13	0	2
50	2	Amandava_formosa	0	1	0	0	3	3	1	4	1	0	0	0	0	10	5.5	11.5	0	3
51	3	Amandava_subflava	1	1	0	1	4	1	0.25	2	1	0	5	0.778151	0	9	5	13.5	1	1
52	1	Amandava_amandava	1	1	1	1	6	5	0.833333333	5	1	0	31	1.50515	1	9.5	5	12	0	2
