Orthogroup	Ambrosiozyma_oregonensis	Ogataea_henricii
OG0000000	Ambrosiozyma_oregonensis_1	Ogataea_henricii_1
OG0000001	Ambrosiozyma_oregonensis_2	Ogataea_henricii_2
OG0000002	Ambrosiozyma_oregonensis_3	Ogataea_henricii_3
