Orthogroup	Starmerella_apicola	Komagataella_pastoris
OG0000000	Starmerella_apicola_1	Komagataella_pastoris_1
OG0000001	Starmerella_apicola_2	Komagataella_pastoris_2
OG0000002	Starmerella_apicola_3	Komagataella_pastoris_3
