Orthogroup	Pichia_terricola	Kregervanrija_fluxuum
OG0000000	Pichia_terricola_1	Kregervanrija_fluxuum_1
OG0000001	Pichia_terricola_2	Kregervanrija_fluxuum_2
OG0000002	Pichia_terricola_3	Kregervanrija_fluxuum_3
