Orthogroup	Ambrosiozyma_monospora	Ambrosiozyma_oregonensis
OG0000000	Ambrosiozyma_monospora_1	Ambrosiozyma_oregonensis_1
OG0000001	Ambrosiozyma_monospora_2	Ambrosiozyma_oregonensis_2
OG0000002	Ambrosiozyma_monospora_3	Ambrosiozyma_oregonensis_3
