Orthogroup	Pichia_terricola	Ambrosiozyma_oregonensis
OG0000000	Pichia_terricola_1	Ambrosiozyma_oregonensis_1
OG0000001	Pichia_terricola_2	Ambrosiozyma_oregonensis_2
OG0000002	Pichia_terricola_3	Ambrosiozyma_oregonensis_3
