Orthogroup	Ogataea_henricii	Ogataea_pini
OG0000000	Ogataea_henricii_1	Ogataea_pini_1
OG0000001	Ogataea_henricii_2	Ogataea_pini_2
OG0000002	Ogataea_henricii_3	Ogataea_pini_3
