Orthogroup	Brettanomyces_custersianus	Ambrosiozyma_oregonensis
OG0000000	Brettanomyces_custersianus_1	Ambrosiozyma_oregonensis_1
OG0000001	Brettanomyces_custersianus_2	Ambrosiozyma_oregonensis_2
OG0000002	Brettanomyces_custersianus_3	Ambrosiozyma_oregonensis_3
