Orthogroup	Starmerella_bombicola	Kregervanrija_fluxuum
OG0000000	Starmerella_bombicola_1	Kregervanrija_fluxuum_1
OG0000001	Starmerella_bombicola_2	Kregervanrija_fluxuum_2
OG0000002	Starmerella_bombicola_3	Kregervanrija_fluxuum_3
