Orthogroup	Ogataea_henricii	Starmerella_apicola
OG0000000	Ogataea_henricii_1	Starmerella_apicola_1
OG0000001	Ogataea_henricii_2	Starmerella_apicola_2
OG0000002	Ogataea_henricii_3	Starmerella_apicola_3
