Orthogroup	Kregervanrija_fluxuum	Brewery_genome
OG0000000	Kregervanrija_fluxuum_1	Brewery_genome_1
OG0000001	Kregervanrija_fluxuum_2	Brewery_genome_2
OG0000002	Kregervanrija_fluxuum_3	Brewery_genome_3
