Orthogroup	Komagataella_populi	Komagataella_pastoris
OG0000000	Komagataella_populi_1	Komagataella_pastoris_1
OG0000001	Komagataella_populi_2	Komagataella_pastoris_2
OG0000002	Komagataella_populi_3	Komagataella_pastoris_3
