Orthogroup	Brettanomyces_custersianus	Starmerella_bombicola
OG0000000	Brettanomyces_custersianus_1	Starmerella_bombicola_1
OG0000001	Brettanomyces_custersianus_2	Starmerella_bombicola_2
OG0000002	Brettanomyces_custersianus_3	Starmerella_bombicola_3
