Orthogroup	Ogataea_henricii	Komagataella_pastoris
OG0000000	Ogataea_henricii_1	Komagataella_pastoris_1
OG0000001	Ogataea_henricii_2	Komagataella_pastoris_2
OG0000002	Ogataea_henricii_3	Komagataella_pastoris_3
