Orthogroup	Ambrosiozyma_vanderkliftii	Starmerella_bombicola
OG0000000	Ambrosiozyma_vanderkliftii_1	Starmerella_bombicola_1
OG0000001	Ambrosiozyma_vanderkliftii_2	Starmerella_bombicola_2
OG0000002	Ambrosiozyma_vanderkliftii_3	Starmerella_bombicola_3
