Orthogroup	Ambrosiozyma_monospora	Starmerella_apicola
OG0000000	Ambrosiozyma_monospora_1	Starmerella_apicola_1
OG0000001	Ambrosiozyma_monospora_2	Starmerella_apicola_2
OG0000002	Ambrosiozyma_monospora_3	Starmerella_apicola_3
