Orthogroup	Pichia_membranifaciens	Kregervanrija_fluxuum
OG0000000	Pichia_membranifaciens_1	Kregervanrija_fluxuum_1
OG0000001	Pichia_membranifaciens_2	Kregervanrija_fluxuum_2
OG0000002	Pichia_membranifaciens_3	Kregervanrija_fluxuum_3
