Orthogroup	Ogataea_pini	Kregervanrija_delftensis
OG0000000	Ogataea_pini_1	Kregervanrija_delftensis_1
OG0000001	Ogataea_pini_2	Kregervanrija_delftensis_2
OG0000002	Ogataea_pini_3	Kregervanrija_delftensis_3
