Orthogroup	Starmerella_apicola	Ogataea_polymorpha
OG0000000	Starmerella_apicola_1	Ogataea_polymorpha_1
OG0000001	Starmerella_apicola_2	Ogataea_polymorpha_2
OG0000002	Starmerella_apicola_3	Ogataea_polymorpha_3
