Orthogroup	Brettanomyces_anomalus	Kregervanrija_delftensis
OG0000000	Brettanomyces_anomalus_1	Kregervanrija_delftensis_1
OG0000001	Brettanomyces_anomalus_2	Kregervanrija_delftensis_2
OG0000002	Brettanomyces_anomalus_3	Kregervanrija_delftensis_3
