Orthogroup	Pichia_membranifaciens	Komagataella_populi
OG0000000	Pichia_membranifaciens_1	Komagataella_populi_1
OG0000001	Pichia_membranifaciens_2	Komagataella_populi_2
OG0000002	Pichia_membranifaciens_3	Komagataella_populi_3
