Orthogroup	Ambrosiozyma_ambrosiae	Brettanomyces_anomalus
OG0000000	Ambrosiozyma_ambrosiae_1	Brettanomyces_anomalus_1
OG0000001	Ambrosiozyma_ambrosiae_2	Brettanomyces_anomalus_2
OG0000002	Ambrosiozyma_ambrosiae_3	Brettanomyces_anomalus_3
