Orthogroup	Ogataea_henricii	Kregervanrija_delftensis
OG0000000	Ogataea_henricii_1	Kregervanrija_delftensis_1
OG0000001	Ogataea_henricii_2	Kregervanrija_delftensis_2
OG0000002	Ogataea_henricii_3	Kregervanrija_delftensis_3
