Orthogroup	Pichia_membranifaciens	Ambrosiozyma_philentoma
OG0000000	Pichia_membranifaciens_1	Ambrosiozyma_philentoma_1
OG0000001	Pichia_membranifaciens_2	Ambrosiozyma_philentoma_2
OG0000002	Pichia_membranifaciens_3	Ambrosiozyma_philentoma_3
