Orthogroup	Starmerella_apicola	Ambrosiozyma_ambrosiae
OG0000000	Starmerella_apicola_1	Ambrosiozyma_ambrosiae_1
OG0000001	Starmerella_apicola_2	Ambrosiozyma_ambrosiae_2
OG0000002	Starmerella_apicola_3	Ambrosiozyma_ambrosiae_3
