Orthogroup	Pichia_membranifaciens	Brewery_genome
OG0000000	Pichia_membranifaciens_1	Brewery_genome_1
OG0000001	Pichia_membranifaciens_2	Brewery_genome_2
OG0000002	Pichia_membranifaciens_3	Brewery_genome_3
