Orthogroup	Pichia_terricola	Ambrosiozyma_ambrosiae
OG0000000	Pichia_terricola_1	Ambrosiozyma_ambrosiae_1
OG0000001	Pichia_terricola_2	Ambrosiozyma_ambrosiae_2
OG0000002	Pichia_terricola_3	Ambrosiozyma_ambrosiae_3
