Orthogroup	Ogataea_pini	Ambrosiozyma_philentoma
OG0000000	Ogataea_pini_1	Ambrosiozyma_philentoma_1
OG0000001	Ogataea_pini_2	Ambrosiozyma_philentoma_2
OG0000002	Ogataea_pini_3	Ambrosiozyma_philentoma_3
