Orthogroup	Komagataella_pastoris	Ogataea_polymorpha
OG0000000	Komagataella_pastoris_1	Ogataea_polymorpha_1
OG0000001	Komagataella_pastoris_2	Ogataea_polymorpha_2
OG0000002	Komagataella_pastoris_3	Ogataea_polymorpha_3
