Orthogroup	Ambrosiozyma_vanderkliftii	Kregervanrija_delftensis
OG0000000	Ambrosiozyma_vanderkliftii_1	Kregervanrija_delftensis_1
OG0000001	Ambrosiozyma_vanderkliftii_2	Kregervanrija_delftensis_2
OG0000002	Ambrosiozyma_vanderkliftii_3	Kregervanrija_delftensis_3
