Orthogroup	Ambrosiozyma_philentoma	Ogataea_henricii
OG0000000	Ambrosiozyma_philentoma_1	Ogataea_henricii_1
OG0000001	Ambrosiozyma_philentoma_2	Ogataea_henricii_2
OG0000002	Ambrosiozyma_philentoma_3	Ogataea_henricii_3
