Orthogroup	Ambrosiozyma_ambrosiae	Wickerhamiella_versatilis
OG0000000	Ambrosiozyma_ambrosiae_1	Wickerhamiella_versatilis_1
OG0000001	Ambrosiozyma_ambrosiae_2	Wickerhamiella_versatilis_2
OG0000002	Ambrosiozyma_ambrosiae_3	Wickerhamiella_versatilis_3
