Orthogroup	Komagataella_pastoris	Brewery_genome
OG0000000	Komagataella_pastoris_1	Brewery_genome_1
OG0000001	Komagataella_pastoris_2	Brewery_genome_2
OG0000002	Komagataella_pastoris_3	Brewery_genome_3
