Orthogroup	Ambrosiozyma_philentoma	Brettanomyces_custersianus
OG0000000	Ambrosiozyma_philentoma_1	Brettanomyces_custersianus_1
OG0000001	Ambrosiozyma_philentoma_2	Brettanomyces_custersianus_2
OG0000002	Ambrosiozyma_philentoma_3	Brettanomyces_custersianus_3
