Orthogroup	Ogataea_polymorpha	Pichia_membranifaciens
OG0000000	Ogataea_polymorpha_1	Pichia_membranifaciens_1
OG0000001	Ogataea_polymorpha_2	Pichia_membranifaciens_2
OG0000002	Ogataea_polymorpha_3	Pichia_membranifaciens_3
