Orthogroup	Starmerella_bombicola	Brewery_genome
OG0000000	Starmerella_bombicola_1	Brewery_genome_1
OG0000001	Starmerella_bombicola_2	Brewery_genome_2
OG0000002	Starmerella_bombicola_3	Brewery_genome_3
