Orthogroup	Brewery_genome	Ambrosiozyma_vanderkliftii
OG0000000	Brewery_genome_1	Ambrosiozyma_vanderkliftii_1
OG0000001	Brewery_genome_2	Ambrosiozyma_vanderkliftii_2
OG0000002	Brewery_genome_3	Ambrosiozyma_vanderkliftii_3
