Orthogroup	Starmerella_apicola	Starmerella_bombicola
OG0000000	Starmerella_apicola_1	Starmerella_bombicola_1
OG0000001	Starmerella_apicola_2	Starmerella_bombicola_2
OG0000002	Starmerella_apicola_3	Starmerella_bombicola_3
