Orthogroup	Kregervanrija_delftensis	Pichia_terricola
OG0000000	Kregervanrija_delftensis_1	Pichia_terricola_1
OG0000001	Kregervanrija_delftensis_2	Pichia_terricola_2
OG0000002	Kregervanrija_delftensis_3	Pichia_terricola_3
