Orthogroup	Ogataea_polymorpha	Kregervanrija_delftensis
OG0000000	Ogataea_polymorpha_1	Kregervanrija_delftensis_1
OG0000001	Ogataea_polymorpha_2	Kregervanrija_delftensis_2
OG0000002	Ogataea_polymorpha_3	Kregervanrija_delftensis_3
