Orthogroup	Kregervanrija_delftensis	Wickerhamiella_versatilis
OG0000000	Kregervanrija_delftensis_1	Wickerhamiella_versatilis_1
OG0000001	Kregervanrija_delftensis_2	Wickerhamiella_versatilis_2
OG0000002	Kregervanrija_delftensis_3	Wickerhamiella_versatilis_3
