Orthogroup	Ogataea_polymorpha	Ogataea_henricii
OG0000000	Ogataea_polymorpha_1	Ogataea_henricii_1
OG0000001	Ogataea_polymorpha_2	Ogataea_henricii_2
OG0000002	Ogataea_polymorpha_3	Ogataea_henricii_3
