Orthogroup	Wickerhamiella_versatilis	Ogataea_polymorpha
OG0000000	Wickerhamiella_versatilis_1	Ogataea_polymorpha_1
OG0000001	Wickerhamiella_versatilis_2	Ogataea_polymorpha_2
OG0000002	Wickerhamiella_versatilis_3	Ogataea_polymorpha_3
