Orthogroup	Komagataella_pastoris	Brettanomyces_custersianus
OG0000000	Komagataella_pastoris_1	Brettanomyces_custersianus_1
OG0000001	Komagataella_pastoris_2	Brettanomyces_custersianus_2
OG0000002	Komagataella_pastoris_3	Brettanomyces_custersianus_3
