Orthogroup	Ambrosiozyma_vanderkliftii	Ambrosiozyma_ambrosiae
OG0000000	Ambrosiozyma_vanderkliftii_1	Ambrosiozyma_ambrosiae_1
OG0000001	Ambrosiozyma_vanderkliftii_2	Ambrosiozyma_ambrosiae_2
OG0000002	Ambrosiozyma_vanderkliftii_3	Ambrosiozyma_ambrosiae_3
