Orthogroup	Ambrosiozyma_oregonensis	Brettanomyces_custersianus
OG0000000	Ambrosiozyma_oregonensis_1	Brettanomyces_custersianus_1
OG0000001	Ambrosiozyma_oregonensis_2	Brettanomyces_custersianus_2
OG0000002	Ambrosiozyma_oregonensis_3	Brettanomyces_custersianus_3
