Orthogroup	Ambrosiozyma_monospora	Ogataea_polymorpha
OG0000000	Ambrosiozyma_monospora_1	Ogataea_polymorpha_1
OG0000001	Ambrosiozyma_monospora_2	Ogataea_polymorpha_2
OG0000002	Ambrosiozyma_monospora_3	Ogataea_polymorpha_3
