Orthogroup	Brewery_genome	Ambrosiozyma_monospora
OG0000000	Brewery_genome_1	Ambrosiozyma_monospora_1
OG0000001	Brewery_genome_2	Ambrosiozyma_monospora_2
OG0000002	Brewery_genome_3	Ambrosiozyma_monospora_3
