Orthogroup	Komagataella_pastoris	Pichia_terricola
OG0000000	Komagataella_pastoris_1	Pichia_terricola_1
OG0000001	Komagataella_pastoris_2	Pichia_terricola_2
OG0000002	Komagataella_pastoris_3	Pichia_terricola_3
