Orthogroup	Brettanomyces_anomalus	Ambrosiozyma_vanderkliftii
OG0000000	Brettanomyces_anomalus_1	Ambrosiozyma_vanderkliftii_1
OG0000001	Brettanomyces_anomalus_2	Ambrosiozyma_vanderkliftii_2
OG0000002	Brettanomyces_anomalus_3	Ambrosiozyma_vanderkliftii_3
