Orthogroup	Ogataea_pini	Komagataella_populi
OG0000000	Ogataea_pini_1	Komagataella_populi_1
OG0000001	Ogataea_pini_2	Komagataella_populi_2
OG0000002	Ogataea_pini_3	Komagataella_populi_3
