Orthogroup	Ambrosiozyma_philentoma	Kregervanrija_fluxuum
OG0000000	Ambrosiozyma_philentoma_1	Kregervanrija_fluxuum_1
OG0000001	Ambrosiozyma_philentoma_2	Kregervanrija_fluxuum_2
OG0000002	Ambrosiozyma_philentoma_3	Kregervanrija_fluxuum_3
