Orthogroup	Ogataea_polymorpha	Ambrosiozyma_oregonensis
OG0000000	Ogataea_polymorpha_1	Ambrosiozyma_oregonensis_1
OG0000001	Ogataea_polymorpha_2	Ambrosiozyma_oregonensis_2
OG0000002	Ogataea_polymorpha_3	Ambrosiozyma_oregonensis_3
