Orthogroup	Ambrosiozyma_ambrosiae	Ogataea_pini
OG0000000	Ambrosiozyma_ambrosiae_1	Ogataea_pini_1
OG0000001	Ambrosiozyma_ambrosiae_2	Ogataea_pini_2
OG0000002	Ambrosiozyma_ambrosiae_3	Ogataea_pini_3
