Orthogroup	Komagataella_pastoris	Kregervanrija_fluxuum
OG0000000	Komagataella_pastoris_1	Kregervanrija_fluxuum_1
OG0000001	Komagataella_pastoris_2	Kregervanrija_fluxuum_2
OG0000002	Komagataella_pastoris_3	Kregervanrija_fluxuum_3
