Orthogroup	Brewery_genome	Kregervanrija_fluxuum
OG0000000	Brewery_genome_1	Kregervanrija_fluxuum_1
OG0000001	Brewery_genome_2	Kregervanrija_fluxuum_2
OG0000002	Brewery_genome_3	Kregervanrija_fluxuum_3
