Orthogroup	Ambrosiozyma_philentoma	Komagataella_pastoris
OG0000000	Ambrosiozyma_philentoma_1	Komagataella_pastoris_1
OG0000001	Ambrosiozyma_philentoma_2	Komagataella_pastoris_2
OG0000002	Ambrosiozyma_philentoma_3	Komagataella_pastoris_3
