Orthogroup	Starmerella_bombicola	Starmerella_apicola
OG0000000	Starmerella_bombicola_1	Starmerella_apicola_1
OG0000001	Starmerella_bombicola_2	Starmerella_apicola_2
OG0000002	Starmerella_bombicola_3	Starmerella_apicola_3
