Orthogroup	Brettanomyces_anomalus	Starmerella_apicola
OG0000000	Brettanomyces_anomalus_1	Starmerella_apicola_1
OG0000001	Brettanomyces_anomalus_2	Starmerella_apicola_2
OG0000002	Brettanomyces_anomalus_3	Starmerella_apicola_3
