Orthogroup	Brettanomyces_anomalus	Komagataella_pastoris
OG0000000	Brettanomyces_anomalus_1	Komagataella_pastoris_1
OG0000001	Brettanomyces_anomalus_2	Komagataella_pastoris_2
OG0000002	Brettanomyces_anomalus_3	Komagataella_pastoris_3
