Orthogroup	Pichia_membranifaciens	Starmerella_bombicola
OG0000000	Pichia_membranifaciens_1	Starmerella_bombicola_1
OG0000001	Pichia_membranifaciens_2	Starmerella_bombicola_2
OG0000002	Pichia_membranifaciens_3	Starmerella_bombicola_3
