Orthogroup	Starmerella_apicola	Komagataella_populi
OG0000000	Starmerella_apicola_1	Komagataella_populi_1
OG0000001	Starmerella_apicola_2	Komagataella_populi_2
OG0000002	Starmerella_apicola_3	Komagataella_populi_3
